Tempo: 875010 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 878030 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 879030 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 883030 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 884030 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 887050 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 888050 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 892050 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 893050 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 896070 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 897070 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 901070 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 902070 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 905090 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 906090 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 910090 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 911090 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 914110 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 915110 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 919110 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 920110 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 923130 ns, Transição para -> Carros: 001, Pedestres: 110
